code,description,category,severity,requiredDocuments,resolutionSteps,estimatedResolutionDays,irsResources
DOC-W2-MISSING,"W-2 form missing or incomplete",Documentation,Medium,"Complete W-2 form from all employers","Contact employer for a copy of W-2|Submit W-2 through IRS amendment process|If W-2 unavailable, complete Form 4852 (Substitute for W-2)",14,https://www.irs.gov/forms-pubs/about-form-w-2
DOC-1099-MISSING,"Form 1099 missing or incomplete",Documentation,Medium,"Complete 1099 form from all payers","Contact payer for a copy of 1099|Submit 1099 through IRS amendment process|If 1099 unavailable, report income based on personal records",14,https://www.irs.gov/forms-pubs/about-form-1099
ID-VERIFY,"Identity verification required",Identity,High,"Government-issued photo ID|Social Security card or official document showing SSN|Proof of address (utility bill, bank statement)","Complete IRS Form 14039 (Identity Theft Affidavit)|Submit required identification documents|Call IRS Identity Verification Service at 1-800-830-5084",21,https://www.irs.gov/identity-theft-fraud-scams/identity-verification
MATH-ERROR,"Mathematical or calculation error detected",Calculation,Low,"Corrected tax calculation worksheet","Review IRS correction notice|Verify calculations on your return|Submit Form 1040X if you disagree with IRS correction",7,https://www.irs.gov/taxtopics/tc652
DEP-CONFLICT,"Dependent claimed on multiple returns",Eligibility,High,"Proof of relationship to dependent|Proof dependent lived with you (school records, medical records)|Social Security number verification","Determine who is eligible to claim dependent based on IRS rules|Submit documentation proving eligibility|If ineligible, file amended return without claiming dependent",30,https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit/qualifying-child-rules
CRED-EIC-INELIG,"Earned Income Credit eligibility issue",Eligibility,Medium,"Proof of income|Proof of relationship to qualifying children|Social Security cards for all claimed individuals","Complete Form 8862 (Information to Claim Earned Income Credit)|Submit documentation proving eligibility|If ineligible, file amended return without claiming EIC",21,https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit/eitc-eligibility
BANK-INFO-ERROR,"Direct deposit bank information error",Payment,Low,"Voided check or bank statement showing account information","Verify correct bank routing and account numbers|Submit Form 8888 with corrected banking information|Contact IRS at 1-800-829-1040 to update direct deposit information",7,https://www.irs.gov/refunds/direct-deposit-limits
AUDIT-DEDUCT,"Deduction documentation required for audit",Audit,High,"Receipts for claimed deductions|Documentation supporting deduction eligibility|Explanation letter for unusual deductions","Gather all documentation supporting claimed deductions|Organize receipts and proof of payment by category|Submit documentation to IRS address provided in audit notice|If documentation unavailable, prepare explanation letter",45,https://www.irs.gov/businesses/small-businesses-self-employed/irs-audits
FOREIGN-INCOME,"Foreign income verification required",International,Medium,"Foreign tax returns filed|Form 1116 (Foreign Tax Credit)|Form 2555 (Foreign Earned Income)|Foreign account statements","Provide documentation of foreign income sources|Submit proof of foreign taxes paid|Complete FBAR if foreign accounts exceed $10,000|Submit Form 8938 if foreign assets exceed threshold",30,https://www.irs.gov/individuals/international-taxpayers
SELF-EMP-VERIFY,"Self-employment income verification",Income,Medium,"Business income and expense records|1099 forms received|Schedule C documentation|Business bank account statements","Provide detailed profit and loss statement|Submit documentation of business expenses claimed|Provide client payment records or invoices|If applicable, submit Form 4562 for depreciation",21,https://www.irs.gov/businesses/small-businesses-self-employed/self-employed-individuals-tax-center
PREV-RETURN-ISSUE,"Issue with previous year's tax return affecting current return",Processing,Medium,"Copy of previous year's tax return|Documentation resolving previous year's issues","Review IRS notice regarding previous year's return|Resolve outstanding issues from previous return|Submit amended return for previous year if necessary|Provide documentation showing resolution",30,https://www.irs.gov/filing/amended-return-status
CRED-CHILD-INELIG,"Child Tax Credit eligibility issue",Eligibility,Medium,"Child's birth certificate|Social Security card for child|School or medical records showing child's residence|Proof of relationship","Verify child meets age requirements for Child Tax Credit|Submit documentation proving child lived with you|Provide proof of relationship to child|If ineligible, file amended return without claiming credit",21,https://www.irs.gov/credits-deductions/individuals/child-tax-credit
ESTATE-DOC-REQ,"Estate or trust documentation required",Documentation,High,"Death certificate|Trust documents|Letters testamentary or letters of administration|Form 56 (Notice Concerning Fiduciary Relationship)","Submit certified copy of death certificate|Provide legal documentation establishing executor/trustee status|Submit complete trust documents if applicable|Complete Form 8971 if estate exceeds exclusion amount",45,https://www.irs.gov/businesses/small-businesses-self-employed/estate-and-gift-taxes
HEALTH-INS-VERIFY,"Health insurance coverage verification",Documentation,Low,"Form 1095-A, 1095-B, or 1095-C|Proof of health insurance coverage|Documentation for coverage exemption claim","Submit health insurance marketplace statement|Provide proof of coverage for each month of tax year|If claiming exemption, submit Form 8965|If receiving premium tax credit, verify Form 8962",14,https://www.irs.gov/affordable-care-act/individuals-and-families
DISASTER-RELIEF,"Disaster relief claim verification",Claims,Medium,"FEMA registration number|Insurance claim documentation|Proof of residence in declared disaster area|Documentation of losses","Verify residence in federally declared disaster area|Document losses not covered by insurance|Complete Form 4684 (Casualties and Thefts)|Provide photos or appraisals of damaged property",21,https://www.irs.gov/newsroom/tax-relief-in-disaster-situations
